	ART_C_PROD_NUMBER	ART_V_ART_DESCRIPTION
6434	324078	324078.1 Bozita Feline Large - 2 kg
6435	51673	51673.1 CANIBIT Angusrind Schlundfleisch - 5 x 100 g
6436	600521	600521.3 2er Mix: Wolf of Wilderness -  Gefriergetrocknete Premium-Snacks - Hühnerherzen, Rinderleber (160 g)
6437	508482	508482.4 Royal Canin Veterinary Diet Feline Renal - Rind 48 x 85 g
6440	564273	564273.3 GimCat ShinyCat Jelly 6 x 70 g - Hühnchen
6448	12505	12505.0 Kattovit Gastro 6 x 175 g - 6 x 175 g Ente & Huhn
6449	12500	12500.0 Kattovit Aufbaukur 6 x 175 g - 6 x 175 g
6453	102115	102115.16 Herrmann's Menü Classic 6 x 400 g - Wild mit Spätzle, Apfel & Cranberries
6454	102115	102115.0 Herrmann's Menü Classic 6 x 400 g - Bio Huhn mit Karotte & Reis 
6455	102115	102115.7 Herrmann's Menü Classic 6 x 400 g - Bio Rind mit Buchweizen & Obst
6456	104303	104303.3 Herrmann's Menü gemischtes Probierpaket 400 g - Classic Mix 6 x 400 g
6465	534930	534930.2 Green Petfood VeggieDog grainfree - Sparpaket 2 x 15 kg
6466	571278	571278.66 Royal Canin Size + Hundespielzeug Geier Gustav gratis! - Medium Adult (15 kg)
6468	53720	53720.18 Applaws Katzenfutter in Brühe 6 x 70 g - Hühnchenbrust & Käse
6473	508482	508482.5 Royal Canin Veterinary Diet Feline Renal - Huhn 48 x 85 g
6474	70673	70673.3 Kattovit Urinary Trockenfutter mit Thunfisch - 1,25 kg
6488	592314	592314.0 Animonda Integra Protect Adult Intestinal 24 x 100 g Schale - mit Pute
6489	153279	153279.2 Dokas Fleischsnack (semi-moist) - Entenstreifen 70 g
6492	578027	578027.0 50 g GimCat Cheese Paste + 40 g GimCat Käse-Rollis gratis! - Cheese Paste 50g + Käse-Rollis 40g gratis
6497	553326	553326.0 Sparpaket Schesir Small Natural Katzenfutter 12 x 50 g - Thunfisch mit Reis
6498	282548	282548.1 Animonda Fleischstreifen - 2 x 100 Stück
6499	347636	347636.60 Sparpaket Almo Nature Legend 48 x 70 g - Mixed Pack Huhn & Thunfisch (6 verschiedene Sorten)
6501	570438	570438.14 Megapack Animonda vom Feinsten Adult 64 x 100 g - Mix Fisch + Fleisch (4 Sorten)
6502	105279	105279.1 GimCat Kombi-Pack Multi + Malt - 2 x 50 g
6505	429600	429600.0 Sanabelle Sensitive mit Lamm - 2 kg
6507	100895	100895.7 Smilla Geflügel- und Fischtöpfchen 6 x 400 g - zartes Geflügel mit Lamm
6509	100895	100895.6 Smilla Geflügel- und Fischtöpfchen 6 x 400 g - zartes Geflügel mit Rind
6510	556340	556340.14 Sparpaket Kattovit Pouches 24 x 85 g - Gastro mit Pute & Reis + Ente & Reis
6514	565202	565202.0 My Star is a Rocker - Huhn - 10 x 90 g
6525	178354	178354.4 8in1 Delights Kaubälle - 6 x 36 g (24 Stück)
6526	4893	4893.14 Royal Canin Medium Adult - 15 kg
6528	434110	434110.0 Lucky-Kitty Katzennapf aus Keramik - Größe XL: 700 ml, Ø 27 cm
6529	463383	463383.2 5 + 1 gratis! 6 x 400 g Leonardo All Meat - Geflügel pur
6530	95843	95843.1 Happy Dog Supreme Fit & Well Mini Adult - 4 kg
6531	568319	568319.0 70 g Dokas Kausnack Hühnerbrust mit Apfel - Für Ihre Bonuspunkte!
6535	179209	179209.0 Megapack Animonda vom Feinsten Mare 32 x 100 g - Lachs & Shrimps
6537	551282	551282.0 XL-Katzenhaus Home inkl. Kratzbrett - L 58 x B 36 x H 41 cm
6538	9477	9477.6 Megapack Animonda vom Feinsten Adult 32 x 100 g - Multi-Fleisch-Cocktail
6539	414585	414585.2 Vitakraft LAMB Lammfleischstreifen - Sparpaket: 6 x 80 g
6541	326354	326354.12 Sparpaket Rinti Kennerfleisch 24 x 400 g - Rentier
6542	378051	378051.0 Trixie Beißwurst mit Handschlaufe, Länge 30 cm, 5 cm breit - Für Ihre Bonuspunkte!
6544	53720	53720.19 Applaws Katzenfutter in Brühe 6 x 70 g - Thunfischfilet & Käse
6549	434128	434128.0 zoolove Kuschelhäuschen Sweet Home - L 40 x B 40 x H 35 cm
6550	491081	491081.0 HALTI Trainingsleine - Gr. L: 200 cm lang, 20 mm breit
6552	137079	137079.5 Hunter Fressnapf aus Edelstahl - Sparset: 2 x 350 ml, Ø 11 cm
6554	348318	348318.3 HALTI Kopfhalfter schwarz - Größe 4: Berner Sennen, Dogge, Rottweiler
6557	273952	273952.60 Sparpaket: Bosch 2 x Großgebinde - Mix: Lamm & Reis/ Geflügel & Hirse (2 x 15 kg)
6559	9650	9650.18 Pedigree Dentastix Tägliche Zahnpflege - Multipack (56 Stück) für große Hunde
6562	346587	346587.1 Miamor Cat Snack Leberwurst-Cream - 24 x 15 g
6564	4911	4911.14 Royal Canin Mini Puppy / Junior - 2 kg
6565	137079	137079.9 Hunter Fressnapf aus Edelstahl - Sparset: 2 x 2,7 l, Ø 24 cm
6570	403450	403450.1 Miamor Cat Snack Malt-Cream & Käse - 24 x 15 g
6571	222270	222270.8 Hundemantel Grizzly II - ca. 70 cm Rückenlänge
6572	471692	471692.5 6 x 400 g Rinti im gemischten Probierpaket - Singlefleisch Mix
6582	12854	12854.1 Hanf-Futteröl - 250 ml
6584	495645	495645.1 Whiskas Milch-Kätzchen +30% mehr Vitamine - 5 er Pack à 55 g
6585	579175	579175.0 Dokas Kaustange mit Entenbrust - 200 g
6588	319274	319274.5 Sparpaket Almo Nature Classic Light 24 x 50 g - Skip Jack Thunfisch
6589	153230	153230.14 Sparpaket Lukullus Naturkost 24 x  400 g - Mix: Wildkaninchen, Putenherzen, Kaninchen, Rind
6591	403455	403455.1 Bosch Plus Strauß & Kartoffel - 12,5 kg
6592	579173	579173.0 DeliBest Straussenknochen XXL - 1 Stk. (ca. 30 cm)
6593	134019	134019.4 World's Best Cat Litter Katzenstreu - 12,7 kg World's Best Cat Litter Katzenstreu
6594	568026	568026.3 Chewies Monoprotein Trainingshappen - Pferd 2 x 300 g
6597	111482	111482.5 Happy Cat Best Age 10+ - Sparpaket: 2 x 4 kg
6598	430855	430855.2 Terra Canis Light 1 x 400 g - Wild mit Gurke, Pfirsich und Löwenzahn
6599	430855	430855.1 Terra Canis Light 1 x 400 g - Pute mit Sellerie, Ananas und Sanddornbeeren
6604	483886	483886.1 Trixie Katzengeschirr XL mit Leine - schwarz
6607	580204	580204.7 Sparpaket Taste of the Wild 12 x 155 g - Sparpaket Mix
6608	154816	154816.1 Dokas Kausnack Hühnerbrust mit Apfel - 3 x 70 g
6609	95846	95846.2 Happy Dog Supreme Fit & Well Medium Adult - 12,5 kg
6613	136047	136047.3 KONG Wet Wubba - L: ca. H 35,5 x B 9 cm
6616	558035	558035.1 Sparangebot: Greenwoods Öko-Klumpstreu (Markenqualität zum Toppreis) - 30 l
6618	199742	199742.0 Ochsenziemer-Enden - 500 g
6619	580613	580613.0 Oleum Canis BARF Öl - 250 ml
6622	348320	348320.1 Vom Lamm: Gemischtes Paket Kausnacks - 600 g
6627	199698	199698.3 Schweinenasen gepufft - 50 Stück
6628	140051	140051.0 Trixie Plüsch-Waschbär mit Power-Quietschie - 1 Stück
6629	72634	72634.0 Fresh Flow Deluxe Trinkbrunnen - Trinkbrunnen creme 3 Liter
6630	372598	372598.2 Exclusion Mediterraneo Adult Medium mit Huhn - Sparpaket: 2 x 12,5 kg
6631	199691	199691.0 Rindernackensehnen - 500 g
6633	12758	12758.3 Schesir in Gelee 6 x 85 g - Thunfisch mit Garnelen
6639	520016	520016.2 Großgebinde Lupo Sensitive + 200 g Dokas Kaurollen gratis! - Sensitiv 24/10 (15 kg)
6642	326872	326872.0 Pedigree Adult Classic 12 x 400 g - 3 Sorten Geflügel
6643	197130	197130.0 Bosch Goodies Vitality - 450 g
6656	519900	519900.0 Oleum Canis Lachsöl - 250 ml
6657	609481	609481.0 Rocco Cubes Huhn mit Fisch 150 g - Gratis für Sie!
6658	433839	433839.0 Pedigree Biscrok in 3 köstlichen Geschmacksrichtungen - 500 g
6660	104133	104133.0 Hunter Calcium Milk Bone - 23 g (1 Stück)
6661	5886	5886.11 Eukanuba Active Adult Small Breed Huhn - Sparpaket: 2 x 7,5 kg
6665	586339	586339.0 Prämie des Monats: 8in1 Delights Kausticks - Für Ihre Bonuspunkte!
6666	497766	497766.0 Cesar Feines im Frischbeutel Selektion in Sauce Multipack - 4 x 100 g
6667	542623	542623.13 Briantos Trockenfutter 14 kg zum Sonderpreis - Senior Light & Care (Single Protein)
6672	555076	555076.0 Mixpaket Bosch Biscuit Hundesnacks - 3 x 1 kg
6674	158402	158402.1 Josera Miniwell - 15 kg
6679	199705	199705.3 Lammohren - 200 g
6680	468923	468923.0 Mischpaket: 2 x 200 g Cookie's Delikatess Fischvariationen - zwei versch. Sorten
6684	584613	584613.2 FULL-Chew Larsson Geweih Hunde Snack - 2 x Gr. IV: 120 - 160 g
6685	476438	476438.2 Sparpaket Barkoo Kauknochen mit Pansenfüllung 12 Stück - 12 St. je 17 cm (1,26 kg)
6686	384538	384538.5 Leonardo Kitten - Sparpaket: 2 x 7,5 kg
6689	458765	458765.1 Hill's Prescription Diet c/d Multicare Urinary Care Katzenfutter mit Lachs - 12 x 85 g
6690	202866	202866.5 Sparpaket Cosma Thai Frischebeutel 24 x 100 g - Huhn & Shrimps
6691	14156	14156.0 Trixie Hundekissen Gino - L 80 x B 55 cm
6692	597401	597401.2 6 x 6 g Vitakraft Cat Stick Mini zum Probierpreis! - Lachs & Forelle
6695	437184	437184.4 Probierpreis: 400 g Feringa Trockenfutter - Adult Sterilised Geflügel
6698	4911	4911.13 Royal Canin Mini Puppy / Junior - Sparpaket: 2 x 8 kg
6699	600711	600711.0 7 Stück Pedigree Dentastix Fresh GRATIS - Jetzt gratis kennenlernen!
6700	405292	405292.3 Dokas Kaustange mit Hühnerbrust - Sparpaket: 12 x 200 g
6703	521743	521743.1 GranataPet DeliCatessen Sterilised Geflügel - 2 kg
6709	101515	101515.0 Dibo Premium Hähnchenhälse - 250 g
6710	526346	526346.6 Probierpreis: Smilla Katzensnack 125 g - Toothies im Becher
6711	191530	191530.14 Sparpaket 18 x 800 g Lukullus Naturkost / Menu Gustico - Mix Paket Adult (5 Sorten)
6712	5272	5272.6 Meradog Care High Premium Light - 12,5 kg
6713	605955	605955.2 15 kg Happy Dog NaturCroq + 2 Packungen NaturCroq-Snacks gratis! - Natur-Croq XXL
6714	580320	580320.0 Katzenhöhle für Regale, aus Filz - L 33 x B 33 x H 33 cm
6717	578312	578312.2 Probierangebot: 1,5 kg Concept for Life Hundetrockennahrung - Large Adult
6724	257259	257259.5 5 + 1 gratis! 6 x 800 g gemischte Probierpakete Rocco - Menue
6725	197417	197417.9 Royal Canin Golden Retriever Junior - Sparpaket: 2 x 12 kg
6729	319144	319144.12 Sparpaket Miamor Feine Filets Naturelle 24 x 80 g - Mix Huhn (2 Sorten)
6731	440741	440741.0 Ferplast Hundekorb Sofà mit Bezug - Cities - Set Größe 2, L 49 x B 36 x H 17,5 cm
6732	542443	542443.0 15 kg Happy Dog NaturCroq + NaturCroq Snack gratis! - Natur-Croq Lamm & Reis
6733	583866	583866.1 Lupo Sensitiv 1,5 kg zum Sonderpreis! - Sensitiv 20/8
6734	578312	578312.4 Probierangebot: 1,5 kg Concept for Life Hundetrockennahrung - Large Senior
6737	514965	514965.0 Josera YoungStar - 1,5 kg
6738	561975	561975.0 Little Wolf of Wilderness Junior - Wild Hills - Ente - 1 kg
6740	597401	597401.4 6 x 6 g Vitakraft Cat Stick Mini zum Probierpreis! - Truthahn & Lamm 
6741	502617	502617.3 Orthopädisches Hundesofa grau - XL: L 140 x B 80 x H 32 cm
6742	581808	581808.4 Gemischtes Probierpaket  Whiskas Knuspertaschen - Mixpaket Dentabites 2 x Lachs & 3 x Huhn (5 x 40 g)
6751	274548	274548.6 Sparpaket Meradog 2 x Großgebinde - Pure Lamm & Reis (2 x 12,5 kg)
6752	456105	456105.1 Royal Canin Veterinary Diet Canine Diabetic - 12 kg
6754	48905	48905.9 Terra Canis 6 x 800 g - Rind mit Karotte, Apfel und Naturreis
6755	378435	378435.5 Barkoo Kauknochen gepresst (Schweinehaut) - 12 St. je 17 cm (1,08 kg)
6756	508476	508476.1 Royal Canin Veterinary Diet Feline Renal Special - 4 kg
6759	561975	561975.1 Little Wolf of Wilderness Junior - Wild Hills - Ente - 12 kg
6760	196728	196728.0 Bosch Müsli - 1 kg
6761	580146	580146.2 5 x 115 g Trixie Kauhuf Fleischpastete - Für Ihre Bonuspunkte
6762	190535	190535.4 RINTI Extra Bitties Puppy Huhn - 12 x 75 g  (Huhn & Rind)
6763	523228	523228.1 Bozita Senior - 11 kg
6764	197130	197130.1 Bosch Goodies Vitality - 3 x 450 g
6771	5283	5283.5 Pedigree Adult mit Huhn und Gemüse - 15 kg
6774	524641	524641.29 2-fach Bonuspunkte auf Rocco Classic 24 x 800 g - 6 Sorten im Mix: Rind pur, Huhn, Seelachs, Geflügelherzen, Wild, Grüner Pansen
6776	306393	306393.14 Royal Canin Senior Ageing Sterilised 12+ - 400 g
6779	220760	220760.1 Sparpaket Rinti Kennerfleisch 24 x 800 g - Pansen pur
6784	346566	346566.12 Royal Canin Beagle Adult - 12 kg
6788	597401	597401.5 6 x 6 g Vitakraft Cat Stick Mini zum Probierpreis! - Geflügel & Leber 
6790	314531	314531.4 Royal Canin Maxi Ageing 8+ - Sparpaket 2 x 15 kg
6792	145292	145292.0 Cozy Hundebett Panther - L 60 x B 55 x  H 22 cm
6799	384018	384018.2 Sparpaket Miamor Sensibel 24 x 100 g - Rind & Reis
6801	520207	520207.4 Sparpaket MAC´s Cat 24 x 400 g - Ente, Pute, Huhn
6804	597401	597401.0 6 x 6 g Vitakraft Cat Stick Mini zum Probierpreis! - Ente & Kaninchen
6807	476410	476410.2 Barkoo Kauknochen mit Pansenfüllung - 6 St. je 17 cm (630 g)
6808	405493	405493.1 12 x Rocco Bar-B-Q Sticks Ente - Für Ihre Bonuspunkte!
6812	477601	477601.2 Sparpaket Barkoo Kauknochen mit Ochsenziemerfüllung 12 Stück - 12 St. je 17 cm (1,26 kg)
6813	596425	596425.0 Probierpaket Barkoo Kauknochen Füllung - für kleine Hunde 18 St. (1,02 kg)
6817	447430	447430.1 Vitakraft Cat Yums - Leberwurst 40 g
6818	169477	169477.15 Feliway Classic - Nachfüllflakon 48 ml
6819	501336	501336.14 10 kg Sanabelle + 12 x 100 g Schmusy Nature Mix gratis! - No Grain
6821	447430	447430.0 Vitakraft Cat Yums - Käse 40 g
6823	456054	456054.2 Royal Canin Veterinary Diet Canine Sensitivity Control SC 21 - Sparpaket: 2 x 14 kg
6825	384018	384018.0 Sparpaket Miamor Sensibel 24 x 100 g - Huhn & Reis
6829	520207	520207.6 Sparpaket MAC´s Cat 24 x 400 g - Ente, Kaninchen, Rind
6831	353163	353163.1 Cosma snackies XXL Stückchen - gefriergetrocknete Katzensnacks - Thunfisch 25 g
6833	12758	12758.6 Schesir in Gelee 6 x 85 g - Thunfisch mit Rinderfilet
6835	598511	598511.4 Purina Dentalife Snacks - Sparpaket: L, 20 Stück (710 g)
6839	489511	489511.3 5 + 1 gratis! 6 x 200 g Leonardo all Meat - Reich an Leber
6840	12767	12767.1 Schesir Natural mit Reis 6 x 85 g - Thunfisch & Rinderfilet mit Reis
6843	593144	593144.2 Animonda Integra Protect Adult Sensitive 24 x 100 g Schale - Pute & Kartoffel
6850	220760	220760.35 Sparpaket Rinti Kennerfleisch 24 x 800 g - Mix Geflügelherzen, Rind, Huhn, Pansen, Kalb, Lamm
6856	624654	624654.14 Perfect Fit Trockenfutter zum Geburtstags-Sonderpreis - Perfect Fit Indoor 1+ mit Huhn (1,4 kg)
6857	10132	10132.2 Pedigree Deutscher Schäferhund - Doppelpack 2 x 15 kg
6868	434311	434311.3 Julius-K9 Powergeschirr - lindgrün - Größe 0: 58 - 76 cm Brustumfang
6871	162565	162565.3 Hill's Prescription Diet c/d Multicare Urinary Care Katzenfutter mit Huhn - 5 kg
6872	202235	202235.4 Hill's Prescription Diet c/d Multicare Urinary Care Katzenfutter mit Huhn - 12 x 85 g
6877	507018	507018.1 PRO PLAN Large Athletic Puppy OPTISTART - 12 kg
6878	595584	595584.4 10 + 2 kg gratis! 12 kg Earthborn Holistic Primitive Natural - Weight Control
6881	497411	497411.0 Concept for Life Sterilised Cats - 400 g
6882	185071	185071.1 Orthopädisches Hundebett eckig - L 90 x B 60 x H 30 cm
6883	398433	398433.2 Hundebar inklusive 2 Edelstahlnäpfe - 2 x 4,2 l, Ø 28 cm, Höhe bis 60 cm
6884	592173	592173.0 Hunter Hundespielzeug Tuff Toys Hai - ca. L 50 x B 21 x H 6 cm
6887	357220	357220.4 Almo Nature HFC 6 x 280 g - Huhn & Lachs
6888	575722	575722.0 catz finefood Mousse Probierpaket 8 x 100 g - Probierpaketxxxxxxxx
6889	497318	497318.0 Concept for Life All Cats - 400 g
6890	291019	291019.8 Sparpaket Almo Nature Rouge Label 24  x 55 g - Hühnerfilet und Surimi
6901	94653	94653.8 PetSafe Hunde- und Katzenklappe Staywell 715 - Katzenklappe weiß (Typ 715)
6903	569299	569299.7 10 + 2 gratis! 12 x 410 g Bozita Naturals Pate - Mix: Rentier, Makrele, Hühnchen & Lamm
6907	576715	576715.0 Little Wolf of Wilderness Junior - Welpenpaket mit Decke - Trockenfutter 1 kg + Nassfutter 6 x 400 g + Decke
6908	439800	439800.6 MAC´s Cat 6 x 400 g - Ente, Kaninchen, Rind
6916	184014	184014.4 8in1 Delights Pro Dental Kauknochen - XS, 21 Stück (252 g)
6922	509196	509196.1 Hundebett Strong&Soft Premium mit Plüsch grau - L 120 x B 90 x H 14 cm
6923	348318	348318.2 HALTI Kopfhalfter schwarz - Größe 3: Dobermann, Labrador, Setter
6930	508441	508441.2 Royal Canin Veterinary Diet Feline Diabetic - 48 x 100 g
6931	592188	592188.2 Animonda Integra Protect Adult Diabetes Schale 24 x 100 g - mit Lachs
6932	175456	175456.3 Litter Champ Entsorgungseimer - 6er Sparpack: Nachfüllbeutel Litter Champ
6934	175456	175456.0 Litter Champ Entsorgungseimer - Litter Champ
6935	592188	592188.1 Animonda Integra Protect Adult Diabetes Schale 24 x 100 g - mit Rind
6938	477601	477601.0 Sparpaket Barkoo Kauknochen mit Ochsenziemerfüllung 12 Stück - 12 St. je 12 cm (660 g)
6939	41410	41410.1 Luposan Gelenkkraft Konzentrat Pellets - 1350 g
6942	490754	490754.0 Kuschelkissen Leo - Ø 55 x H 20 cm
6946	439800	439800.1 MAC´s Cat 6 x 400 g - Rind
6951	387574	387574.21 2-fach Bonuspunkte auf Lukullus 24 x  800 g - Wildkaninchen & Truthahn
6958	349059	349059.5 Pedigree Dentastix Fresh Tägliche Frische - Multipack (28 Stück) für große Hunde
6961	607316	607316.1 15 kg Lupo Sensitiv + 5 Rocco Ochsenziemer gratis! - Sensitiv 24/10
6963	470225	470225.1 Smilla Sterilised Frischebeutel Mix - 24 x 85 g
6964	349318	349318.7 catz finefood 6 x 200 g - Geflügel & Garnelen
6965	7406	7406.6 Animonda vom Feinsten für kastrierte Katzen 6 x 100 g - Pute & Lachs
6967	11429	11429.5 Almo Nature Jelly Pouch 6 x 70 g - Huhn
6968	15116	15116.14 Sparpaket&nbsp;Almo Nature Jelly Pouch 24 x 70 g - Thunfisch
6969	172956	172956.9 Dokas Hundesnack 1 Meter Kaurolle - 9 x 320 g Huhn
6970	638205	638205.0 15 kg Josera + 500 g DogMio Barkis gratis! - Kids
6972	592416	592416.1 Schmusy Nature Geschnetzeltes Mini Mix 6 x 50 g - Fisch-Selection
6973	154993	154993.1 Schesir Small Natural 6 x 50 g - Hühnerfilet mit Ente
6976	8805	8805.14 Royal Canin Mother & Babycat - 4 kg
6980	556998	556998.0 4 Stück Spielmäuse Greeny - Für Ihre Bonuspunkte!
6988	433882	433882.4 Pedigree Frischebeutel Multipack - 48 x 100 g in Gelee
6994	277306	277306.21 Sparpaket Purina ONE 6 x 1,5 kg/ 3 x 3 kg - Coat & Hairball Huhn ( 6 x 1,5 kg)
6995	145141	145141.4 Lucky-Kitty Keramik Trinkbrunnen - Langhaar-Dauerfilter
6996	569767	569767.2 Josera Nature Cat - 10 kg
7000	48654	48654.7 Sparpaket Rocco Classic 24 x 800 g - Rind mit Huhn
7007	370544	370544.4 6 x 70 g Almo Nature Probierpaket - Gemüsepaket
7017	347273	347273.22 Almo Nature Legend 6 x 70 g - Huhn & Leber (NICHT AKTIVIEREN)
7021	203621	203621.0 12 kg/ 13,5 kg + 2,5 kg gratis! 14,5 / 16 kg Hill's Hundefutter - Adult 1-6 Advanced Fitness Medium mit Huhn (14,5 kg)
7024	347273	347273.27 Almo Nature Legend 6 x 70 g - Hühnerfilet
7026	50833	50833.1 10 + 2 gratis! 12 x 90 g Feline Porta 21 - Thunfisch mit Breitling
7028	9650	9650.1 Pedigree Dentastix Tägliche Zahnpflege - mittelgroße Hunde, 7 Stück (180 g)
7029	15116	15116.21 Sparpaket&nbsp;Almo Nature Jelly Pouch 24 x 70 g - Thunfisch & Seezunge
7030	15116	15116.15 Sparpaket&nbsp;Almo Nature Jelly Pouch 24 x 70 g - Thunfisch & Jungfische
7031	476410	476410.0 Barkoo Kauknochen mit Pansenfüllung - 6 St. je 12 cm (330 g)
7033	561901	561901.6 Sparpaket Gourmet Gold Raffiniertes Ragout 24 x 85 g - Lachs
7038	518908	518908.58 Sparpaket Almo Nature Legend 24 x 70 g - Mix Huhn & Thunfisch (6 Sorten)
7039	502781	502781.1 Biokat´s Classic Fresh 3in1 - 3 x 10 l
7041	561901	561901.3 Sparpaket Gourmet Gold Raffiniertes Ragout 24 x 85 g - Huhn
7042	347539	347539.2 Almo Nature HFC 6 x 140 g - Huhn mit Kürbis (alt - NICHT AKTIVIEREN)
7044	569003	569003.11 4 kg Kattovit + 6 x 85 g Kattovit Pouch gratis! - Niere/Renal (Niereninsuffizienz)
7046	507113	507113.1 PRO PLAN Large Athletic Adult OPTIBALANCE - Sparpaket 2 x 14 kg
7047	347636	347636.6 Sparpaket Almo Nature Legend 48 x 70 g - Thunfisch & Garnelen
7052	562380	562380.5 MAC´s Cat 6 x 800 g - Rind
7053	567952	567952.1 RINTI Extra Chicko Dent Huhn Small - Sparpaket: 2 x 150 g
7056	58500	58500.3 Rinti Sensible 6 x 185 g - Mix, 3 Sorten
7057	456769	456769.0 15 kg + 1 kg gratis! 16 kg Black Angus im Bonusbag -  Adult
7058	491208	491208.0 FroliCat™ FLIK™ automatisches Katzenspielzeug - 1 Stück
7059	599072	599072.0 O'Canis for Cats 6 x 200 g + 2 x 30 g Corwex Soft Bits gratis! - 5 Sorten
7062	460253	460253.0 Katzenspielzeug Micro Mouse - 1 Set
7065	353651	353651.1 Katzenspielzeug Wollmaus - 3 Stück
7069	430855	430855.0 Terra Canis Light 1 x 400 g - Rind mit Kürbis, Mango und Artischoke
7070	549312	549312.0 Mixpack Schesir in Brühe Dose 6 x 70 g - 3 Sorten
7071	301417	301417.1 DogMio Mark Nuggets - 1 kg
7072	552455	552455.4 Sparpaket RINTI Sensible 12 x 400 g - Huhn & Kartoffeln
7086	214530	214530.3 Sparpaket Felix Leckerbissen in Soße 24 x 400 g - Rind & Truthahn
7089	520660	520660.0 2-fach Bonuspunkte: 12 kg Wolf of Wilderness Adult/Junior/Senior - Adult Wild Hills - Ente
7093	1640	1640.9 GimCat Käse-Rollis - 2 x 140 g
7103	140015	140015.3 Trixie Dog Activity Baggy Deluxe - 2 Stück im Sparset
7104	199746	199746.7 Premium Ochsenziemer 18,5 cm - 15 Stück
7105	570438	570438.2 Megapack Animonda vom Feinsten Adult 64 x 100 g - Putenherzen
7106	570438	570438.12 Megapack Animonda vom Feinsten Adult 64 x 100 g - Rind & Kartoffeln
7107	499999	499999.5 Royal Canin Size Hundefutter im Bonusbag - *** ALTE LA Medium Adult (15 + 3 kg)
7109	199692	199692.3 Rinderkopfhaut extra lang - 10 Stück
7113	565370	565370.1 My Star is a Diva - Hühnerleber - 10 x 90 g
7120	532176	532176.3 Gemischtes Probierpaket: Briantos Adult 3 x 3 kg - Mix, 3 Sorten: Lamm, Lachs, Huhn
7125	404752	404752.0 Josera Profiline Agilo - 15 kg
7129	279594	279594.3 Dreamies Mix Katzensnack - Sparpaket Huhn & Ente (6 x 60 g)
7132	467821	467821.7 Lukullus feiner Kauknochen 1 x 15 cm (120 g) - Huhn 4 x 15 cm (480 g)
7134	565433	565433.1 My Star is a Sweetie - Hühnerherzen - 10 x 90 g
7135	107879	107879.9 Eukanuba Adult Breed Specific Labrador Retriever - Sparpaket: 2 x 12 kg
7138	459236	459236.1 Hill's Prescription Diet m/d  Diabetes/Weight Management Katzenfutter Original - 12 x 156 g
7141	600679	600679.3 800g/ 1,5 kg/ 3 kg Purina ONE Trockenfutter zum Sonderpreis! - 1,5 kg SterilCat Rind
7144	190685	"190685.2 Felix ""So gut wie es aussieht"" Pouches 24 x 100 g - Rind/ Karotte, Huhn/ Tomate, Lachs/ Zucchini, Forelle/ Bohne"
7157	296332	296332.1 Hundeschuhe S & P Boots - Größe S
7158	403986	403986.1 Caniland Soft Pferd-Happen getreidefrei - 2 x 540 g
7160	101307	101307.0 Versele-Laga Oropharma Deodo Geruchsbinder - Lavendelduft 750 g
7161	349359	349359.6 Sparpaket catz finefood 16 x 85 g - Lachs & Geflügel
7163	593780	593780.0 Fleecedecke Pawty - L 150 x B 100 cm
7167	589289	589289.1 Hundemantel Tweed - ca. 35 cm (Größe L)
7168	220775	220775.13 Smilla Adult Sensible - Sparpaket 2 x 10 kg
7170	352775	352775.0 Barkoo Kauschuh - 6 St. je ca. 7 cm (45 g)
7174	464495	464495.0 DeliBest Sensi Fleischrolle Pferd - 2 x 400 g
7176	101514	101514.0 Dibo Premium Putenhälse - 250 g
7177	467821	467821.3 Lukullus feiner Kauknochen 1 x 15 cm (120 g) - Huhn
7178	576075	576075.0 Multipack Sheba Classic Soup Frischebeutel 4 x 40 g - Hühnchenbruststreifen
7179	598538	598538.1 Feinschmecker-Mix: 4 x 85 g Gourmet Gold, 12 x 85 g Gourmet Gold Paté, 10 x 90 g My Star Mousse - Gemischtes Probierpaket für kleine Feinschmecker
7181	202866	202866.8 Sparpaket Cosma Thai Frischebeutel 24 x 100 g - Huhn & Hühnchenleber
7182	11784	11784.15 Royal Canin Outdoor 7+ - 10 kg
7183	404436	404436.4 500 g DogMio Barkis + 450 g Nachfüllbeutel gratis - DogMio Barkis
7185	464837	464837.1 Sparpaket Wolf of Wilderness Adult 24 x 800 g - Mix: Lamm, Ente, Wildschwein, Rentier
7196	218383	218383.4 Rinderleber - 400 g
7197	348285	348285.3 Würstchen aus 100 % Hirschfleisch - 600 g
7198	199748	199748.4 Rinderherz - 500 g 
7199	352916	352916.1 Barkoo Kaustange ca. 25 cm - 12 St. (960 g)
7201	488221	488221.6 Sparpaket Applaws Cat Pot 30 x 60 g - Zarte Hühnchenbrust & Reis
7207	36956	36956.1 Hill's Science Plan Mature Adult 7+ Active Longevity Mini mit Huhn - 7,5 kg
7208	624684	624684.0 400 g Concept for Life Sterilised Cats zum Geburtstags-Angebot! - Für Ihre Bonuspunkte!
7209	495021	495021.3 400 g Greenwoods Truthahn & Reis zum Geburtstags-Angebot! Für Ihre Bonuspunkte!
7215	346537	346537.22 GranataPet DeliCatessen 6 x 200 g - Kitten Geflügel
7216	526967	526967.16 20 + 4 gratis! 24 x 85 g Schesir Natural - Kitten Thunfisch mit Aloe (Gelee)
7220	626481	626481.2 300 g Smilla Adult Sterilised zum Geburtstags-Angebot! - Für Ihre Bonuspunkte!
